camp;id;FY;DMY;D-value;iNDF;NDF;WSC;Ncont;NU;OMD;valk;INDF;Nup
RG_TR20170724;20016;19770.11494;3321.37931;689.0;69.0;542.0;68.0;27.04;89.81009655;;;;
RG_TR20170724;20017;1379.310345;377.9310345;731.0;62.0;442.0;220.0;20.48;7.740027586;;;;
RG_TR20170724;20018;3218.390805;750.5287356;710.0;60.0;475.0;170.0;20.96;15.7310823;;;;
RG_TR20170724;20019;11034.48276;2022.62069;720.0;27.0;563.0;78.0;27.68;55.98614069;;;;
RG_TR20170724;20020;9195.402299;1934.712644;739.0;28.0;529.0;167.0;19.52;37.7655908;;;;
RG_TR20170724;20021;2298.850575;626.8965517;737.0;29.0;470.0;224.0;19.68;12.33732414;;;;
RG_TR20170724;20022;23678.16092;3859.54023;713.0;33.0;564.0;60.0;32.16;124.1228138;;;;
RG_TR20170724;20023;7356.321839;2034.758621;756.0;23.0;493.0;242.0;18.24;37.11399724;;;;
RG_TR20170724;20024;20229.88506;3503.816092;708.0;36.0;573.0;73.0;27.84;97.54624;;;;
RG_TR20170724;20025;15862.06897;2942.413793;709.0;36.0;565.0;93.0;23.04;67.79321379;;;;
RG_TR20170724;20026;15862.06897;2981.711002;734.0;27.0;569.0;69.0;26.72;79.67131797;;;;
RG_TR20170724;20027;17931.03448;3372.827586;731.0;29.0;568.0;82.0;25.6;86.34438621;;;;
RG_TR20170724;20028;2988.505747;852.1130878;743.0;34.0;484.0;216.0;19.36;16.49690938;;;;
RG_TR20170724;20029;5057.471264;1299.030477;747.0;29.0;505.0;219.0;18.08;23.48647102;;;;
RG_TR20170724;20030;11264.36782;2562.104747;700.0;49.0;547.0;126.0;19.68;50.42222142;;;;
RG_TR20170724;20031;15862.06897;2880.628393;724.0;34.0;573.0;90.0;22.4;64.526076;;;;
RG_TR20170724;20032;21379.31034;3641.708966;723.0;34.0;568.0;50.0;33.12;120.6134009;;;;
RG_TR20170724;20033;20229.88506;3358.025711;720.0;37.0;568.0;58.0;28.64;96.17385635;;;;
RG_TR20170724;20034;17701.14943;2949.469954;723.0;35.0;567.0;77.0;24.8;73.14685486;;;;
RG_TR20170724;20035;18160.91954;3367.034483;720.0;30.0;567.0;70.0;25.92;87.27353379;;;;
RG_TR20170724;20036;10344.82759;2161.975955;739.0;13.0;556.0;108.0;22.72;49.1200937;;;;
RG_TR20170803;20037;2150.537634;623.3582098;736.0;20.0;491.0;226.0;19.04;11.86874032;;;;
RG_TR20170803;20038;4745.762712;1316.294556;738.0;28.0;510.0;219.0;15.84;20.85010577;;;;
RG_TR20170803;20039;14444.44444;3397.972138;715.0;35.0;556.0;157.0;17.28;58.71695854;;;;
RG_TR20170803;20040;18713.45029;3882.747986;673.0;60.0;612.0;83.0;18.56;72.06380262;;;;
RG_TR20170803;20041;21481.48148;4195.108817;672.0;63.0;607.0;81.0;20.32;85.24461116;;;;
RG_TR20170803;20042;20493.82716;4280.937318;693.0;47.0;590.0;81.0;22.4;95.89299592;;;;
RG_TR20170803;20043;26909.09091;4644.399148;682.0;60.0;590.0;61.0;26.88;124.8414491;;;;
RG_TR20170803;20044;22962.96296;4363.07715;687.0;53.0;588.0;73.0;24.32;106.1100363;;;;
RG_TR20170803;20045;17471.26437;3732.937546;701.0;43.0;588.0;90.0;20.96;78.24237096;;;;
RG_TR20170803;20046;19080.45977;3873.663128;681.0;61.0;585.0;90.0;20.8;80.57219307;;;;
RG_TR20170803;20047;18888.88889;3951.314606;699.0;50.0;584.0;82.0;23.2;91.67049885;;;;
RG_TR20170803;20048;12444.44444;3023.999381;721.0;36.0;546.0;163.0;16.96;51.2870295;;;;
RG_TR20170803;20049;17849.46237;3776.156094;697.0;53.0;572.0;105.0;21.12;79.7524167;;;;
RG_TR20170803;20050;19333.33333;3889.609095;686.0;55.0;586.0;89.0;22.24;86.50490626;;;;
RG_TR20170803;20051;19791.66667;3805.520963;678.0;85.0;546.0;65.0;28.8;109.5990037;;;;
RG_TR20170803;20052;18383.83838;3658.036766;668.0;89.0;559.0;88.0;24.48;89.54874002;;;;
RG_TR20170803;20053;2000.0;605.8182545;692.0;70.0;429.0;227.0;20.32;12.31022693;;;;
RG_TR20170803;20054;4086.021505;1197.634022;700.0;66.0;426.0;275.0;17.12;20.50349446;;;;
RG_TR20170803;20055;14153.84615;3062.065684;725.0;34.0;540.0;130.0;20.96;64.18089674;;;;
RG_TR20170803;20056;11182.7957;2924.713979;733.0;31.0;519.0;204.0;16.16;47.26337791;;;;
RG_TR20170803;20057;8222.222222;1187.759745;748.0;20.0;488.0;237.0;17.28;20.52448839;;;;
RG_TR20170803;20058;25310.73446;4623.074161;684.0;60.0;586.0;78.0;24.32;112.4331636;;;;
RG_TR20170803;20059;9195.402299;2569.283353;724.0;36.0;522.0;201.0;16.32;41.93070432;;;;
RG_TR20170803;20060;24137.93103;4663.731842;686.0;61.0;584.0;79.0;23.04;107.4523816;;;;
RG_TR20170803;20061;17777.77778;4058.691868;677.0;63.0;583.0;110.0;17.44;70.78358617;;;;
RG_TR20170803;20062;19259.25926;4186.043935;689.0;52.0;583.0;90.0;21.44;89.74878196;;;;
RG_TR20170803;20063;22000.0;4384.72601;671.0;66.0;585.0;81.0;20.96;91.90385718;;;;
RG_TR20170803;20064;3174.603175;986.6109596;738.0;20.0;477.0;240.0;16.8;16.57506412;;;;
RG_TR20170803;20065;6553.672316;1849.242134;742.0;15.0;472.0;245.0;16.0;29.58787414;;;;
RG_TR20170803;20066;12183.90805;3064.507439;687.0;66.0;509.0;170.0;16.48;50.5030826;;;;
RG_TR20170803;20067;16949.15254;3737.913094;683.0;72.0;538.0;117.0;19.36;72.36599751;;;;
RG_TR20170803;20068;25536.72316;4696.174166;672.0;83.0;545.0;71.0;27.68;129.9901009;;;;
RG_TR20170803;20069;22758.62069;4369.311595;668.0;87.0;557.0;83.0;22.72;99.27075944;;;;
RG_TR20170803;20070;21609.1954;4105.413003;675.0;82.0;551.0;83.0;22.56;92.61811734;;;;
RG_TR20170803;20071;20112.99435;4074.645434;679.0;81.0;546.0;80.0;23.68;96.48760388;;;;
RG_TR20170803;20072;17076.02339;3451.500556;692.0;70.0;541.0;88.0;23.36;80.627053;;;;
RG_TR20170814;20073;3432.343234;1124.523801;695.0;78.0;440.0;294.0;15.2;17.09276178;;;;
RG_TR20170814;20074;9438.943894;2777.821677;698.0;67.0;516.0;242.0;13.28;36.88947187;;;;
RG_TR20170814;20075;18823.52941;5452.803291;662.0;79.0;558.0;173.0;13.12;71.54077917;;;;
RG_TR20170814;20076;21650.16502;5344.709526;628.0;104.0;609.0;131.0;13.6;72.68804955;;;;
RG_TR20170814;20077;23986.9281;5597.029315;675.0;92.0;528.0;205.0;14.24;79.70169745;;;;
RG_TR20170814;20078;25214.52145;7005.148252;653.0;93.0;586.0;138.0;15.04;105.3574297;;;;
RG_TR20170814;20079;30759.07591;5115.762026;628.0;110.0;608.0;89.0;20.96;107.2263721;;;;
RG_TR20170814;20080;29266.66667;6990.787951;647.0;91.0;593.0;120.0;17.12;119.6822897;;;;
RG_TR20170814;20081;15544.38861;4137.111155;664.0;78.0;577.0;163.0;14.4;59.57440063;;;;
RG_TR20170814;20082;20933.33333;5514.359586;658.0;92.0;559.0;171.0;14.24;78.52448051;;;;
RG_TR20170814;20083;19047.61905;4682.642518;629.0;113.0;606.0;94.0;17.44;81.66528551;;;;
RG_TR20170814;20084;15611.39028;4519.538028;659.0;81.0;564.0;183.0;12.96;58.57321285;;;;
RG_TR20170814;20085;25782.31293;5971.506402;645.0;96.0;593.0;136.0;15.04;89.81145629;;;;
RG_TR20170814;20086;25718.79937;6026.45796;633.0;102.0;606.0;106.0;17.28;104.1371935;;;;
RG_TR20170814;20087;31301.5873;5254.98833;636.0;111.0;605.0;122.0;16.64;87.44300581;;;;
RG_TR20170814;20088;26666.66667;6312.789927;644.0;95.0;605.0;126.0;15.2;95.95440689;;;;
RG_TR20170814;20089;2810.457516;917.4547274;718.0;53.0;469.0;288.0;13.92;12.77096981;;;;
RG_TR20170814;20090;6013.071895;1866.72503;648.0;107.0;561.0;169.0;15.52;28.97157247;;;;
RG_TR20170814;20091;16228.95623;4190.914066;660.0;98.0;568.0;122.0;16.96;71.07790256;;;;
RG_TR20170814;20092;16161.61616;4351.235383;669.0;95.0;543.0;182.0;13.76;59.87299887;;;;
RG_TR20170814;20093;5993.265993;1909.256004;688.0;82.0;471.0;274.0;13.28;25.35491974;;;;
RG_TR20170814;20094;31986.53199;5569.190583;629.0;130.0;586.0;130.0;18.88;105.1463182;;;;
RG_TR20170814;20095;11986.53199;3538.59928;681.0;94.0;520.0;216.0;13.6;48.12495021;;;;
RG_TR20170814;20096;31447.81145;6594.200191;620.0;137.0;577.0;113.0;20.16;132.9390759;;;;
RG_TR20170814;20097;22154.88215;5645.436428;629.0;119.0;585.0;150.0;14.24;80.39101474;;;;
RG_TR20170814;20098;28350.16835;5785.92212;642.0;118.0;563.0;157.0;15.36;88.87176376;;;;
RG_TR20170814;20099;28821.54882;7228.680097;618.0;134.0;588.0;141.0;15.36;111.0325263;;;;
RG_TR20170814;20100;4983.164983;1682.243398;692.0;81.0;453.0;290.0;14.24;23.95514599;;;;
RG_TR20170814;20101;7744.107744;2558.032808;681.0;86.0;474.0;260.0;14.08;36.01710194;;;;
RG_TR20170814;20102;15622.89562;4703.080832;674.0;92.0;538.0;188.0;13.28;62.45691344;;;;
RG_TR20170814;20103;20269.36027;5835.848997;657.0;101.0;556.0;154.0;14.72;85.90369723;;;;
RG_TR20170814;20104;32390.57239;4856.580995;647.0;114.0;567.0;121.0;20.32;98.68572582;;;;
RG_TR20170814;20105;28888.88889;5942.579204;637.0;119.0;578.0;143.0;15.84;94.13045459;;;;
RG_TR20170814;20106;26464.64646;5811.345796;635.0;116.0;577.0;112.0;18.56;107.858578;;;;
RG_TR20170814;20107;26936.02694;5369.459552;661.0;87.0;576.0;124.0;18.08;97.0798287;;;;
RG_TR20170814;20108;19595.9596;4595.919281;655.0;106.0;570.0;142.0;15.04;69.12262598;;;;
RG_TE20170724;30025;7843.137255;2073.316283;714.0;58.0;464.0;191.0;21.12;43.7884399;;;;
RG_TE20170724;30125;20493.82716;3596.299417;701.0;69.0;525.0;89.0;28.48;102.4226074;;;;
RG_TE20170724;30075;16380.95238;3249.220035;708.0;57.0;515.0;104.0;24.32;79.02103125;;;;
